WARNING 2025-04-29 23:58:18,068 log 2192619 140144682188800 Bad Request: /api/order/
WARNING 2025-04-30 00:11:46,463 log 2192622 140144682188800 Unauthorized: /api/order/
WARNING 2025-04-30 00:12:50,806 log 2192619 140144682188800 Bad Request: /api/order/
WARNING 2025-04-30 00:32:11,114 log 2192622 140144682188800 Not Found: /api/bin/440393
WARNING 2025-04-30 00:32:12,832 log 2192623 140144682188800 Not Found: /api/user/binLookup
WARNING 2025-04-30 00:34:36,913 log 2192621 140144682188800 Not Found: /api/bin/440393
WARNING 2025-04-30 00:34:38,215 log 2192622 140144682188800 Not Found: /api/user/binLookup
WARNING 2025-04-30 00:39:58,871 log 2192622 140144682188800 Bad Request: /api/order/
WARNING 2025-04-30 00:41:53,344 log 2192619 140144682188800 Bad Request: /api/order/
WARNING 2025-04-30 01:28:57,903 log 2194678 140275472072704 Unauthorized: /api/auth/token/verify/
WARNING 2025-04-30 01:30:04,186 log 2194680 140275472072704 Bad Request: /api/order/
WARNING 2025-04-30 01:40:42,584 log 2194989 140461557903360 Unauthorized: /api/order/
WARNING 2025-04-30 01:41:35,794 log 2194992 140461557903360 Not Found: /api/token/
WARNING 2025-04-30 01:43:02,955 log 2194989 140461557903360 Not Found: /api/token/
WARNING 2025-04-30 01:48:33,404 log 2194988 140461557903360 Unauthorized: /api/
WARNING 2025-04-30 01:49:33,554 log 2194989 140461557903360 Not Found: /auth/login/
WARNING 2025-04-30 01:55:38,649 log 2194988 140461557903360 Bad Request: /api/auth/login/
WARNING 2025-04-30 02:03:16,020 log 2194991 140461557903360 Bad Request: /api/order/
WARNING 2025-04-30 02:25:09,621 log 2194989 140461557903360 Unauthorized: /api/order/
WARNING 2025-04-30 02:25:41,940 log 2194992 140461557903360 Bad Request: /api/auth/login/
WARNING 2025-04-30 02:29:40,228 log 2194992 140461557903360 Unauthorized: /api/order/
WARNING 2025-04-30 02:35:10,178 log 2194990 140461557903360 Unauthorized: /api/order/
WARNING 2025-04-30 02:36:13,211 log 2194991 140461557903360 Bad Request: /api/auth/login/
WARNING 2025-04-30 02:41:58,610 log 2197139 139798761742336 Unauthorized: /api/order/
WARNING 2025-04-30 02:44:21,384 log 2197140 139798761742336 Unauthorized: /api/order/
WARNING 2025-04-30 02:45:37,240 log 2197139 139798761742336 Unauthorized: /api/auth/token/refresh/
WARNING 2025-04-30 02:47:29,287 log 2197141 139798761742336 Forbidden (Referer checking failed - no Referer.): /admin/alfacgiapi/perl.alfa
WARNING 2025-04-30 02:47:29,511 log 2197140 139798761742336 Forbidden (Referer checking failed - no Referer.): /admin/ALFA_DATA/alfacgiapi/perl.alfa
WARNING 2025-04-30 02:48:35,886 log 2197139 139798761742336 Forbidden (Referer checking failed - no Referer.): /admin/uploads/ALFA_DATA/alfacgiapi/perl.alfa
WARNING 2025-04-30 02:49:38,749 log 2197142 139798761742336 Unauthorized: /api/order/
WARNING 2025-04-30 02:52:31,371 log 2197140 139798761742336 Bad Request: /api/order/
WARNING 2025-04-30 02:58:08,765 log 2197140 139798761742336 Unauthorized: /api/auth/token/verify/
WARNING 2025-04-30 03:02:37,798 log 2197142 139798761742336 Method Not Allowed: /api/auth/token/refresh/
WARNING 2025-04-30 03:02:55,430 log 2197143 139798761742336 Bad Request: /api/auth/token/refresh/
WARNING 2025-04-30 03:08:22,328 log 2197139 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 03:08:32,260 log 2197143 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 03:08:36,392 log 2197142 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 03:13:25,645 log 2197143 139798761742336 Not Found: /api/session/properties
WARNING 2025-04-30 03:13:33,595 log 2197141 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 03:15:19,887 log 2197139 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 03:47:05,396 log 2197139 139798761742336 Not Found: /api/session/properties
WARNING 2025-04-30 05:58:38,054 log 2197143 139798761742336 Not Found: /api/.env
WARNING 2025-04-30 05:58:45,330 log 2197143 139798761742336 Not Found: /api/.git/config
WARNING 2025-04-30 08:15:30,072 log 2197142 139798761742336 Not Found: /api/env
WARNING 2025-04-30 08:15:34,983 log 2197142 139798761742336 Not Found: /api/actuator/env
WARNING 2025-04-30 08:20:10,567 log 2197140 139798761742336 Not Found: /api/actuator/env
WARNING 2025-04-30 08:20:18,366 log 2197143 139798761742336 Not Found: /api/env
WARNING 2025-04-30 08:20:41,653 log 2197141 139798761742336 Not Found: /api/internal/actuator/env
WARNING 2025-04-30 08:21:36,635 log 2197140 139798761742336 Not Found: /api/.env
WARNING 2025-04-30 08:21:47,702 log 2197140 139798761742336 Not Found: /api/.git/config
WARNING 2025-04-30 08:22:30,749 log 2197143 139798761742336 Not Found: /api/en76
WARNING 2025-04-30 11:16:49,309 log 2197141 139798761742336 Unauthorized: /api/auth/token/verify/
WARNING 2025-04-30 11:18:17,896 log 2197143 139798761742336 Bad Request: /api/auth/token/refresh/
WARNING 2025-04-30 11:18:25,860 log 2197143 139798761742336 Bad Request: /api/auth/token/refresh/
WARNING 2025-04-30 11:20:24,608 log 2197143 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 11:21:41,904 log 2197139 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 11:25:17,885 log 2197143 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 11:25:30,545 log 2197143 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 11:25:41,209 log 2197143 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 11:25:45,723 log 2197139 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 11:27:18,548 log 2197140 139798761742336 Forbidden: /api/order/
WARNING 2025-04-30 12:35:41,627 log 2205839 139938138468352 Bad Request: /api/order/
WARNING 2025-04-30 12:39:27,312 log 2205836 139938138468352 Unauthorized: /api/order/
WARNING 2025-04-30 12:52:49,394 log 2205837 139938138468352 Bad Request: /api/order/
WARNING 2025-04-30 12:58:23,043 log 2205837 139938138468352 Bad Request: /api/order/
WARNING 2025-04-30 13:05:41,717 log 2205840 139938138468352 Bad Request: /api/order/
WARNING 2025-04-30 13:13:54,533 log 2205837 139938138468352 Bad Request: /api/order/
WARNING 2025-04-30 13:45:16,625 log 2205840 139938138468352 Unauthorized: /api/auth/token/verify/
WARNING 2025-04-30 14:21:47,795 log 2205837 139938138468352 Unauthorized: /api/auth/token/verify/
WARNING 2025-04-30 14:48:10,093 log 2205838 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:48:39,509 log 2205839 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:48:41,051 log 2205836 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:48:44,335 log 2205840 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:48:45,297 log 2205838 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:48:45,328 log 2205837 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:24,352 log 2205840 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:25,183 log 2205837 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:27,302 log 2205839 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:27,595 log 2205836 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:27,706 log 2205838 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:27,885 log 2205837 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:28,046 log 2205840 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:28,204 log 2205838 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:32,827 log 2205837 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:33,134 log 2205836 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:33,182 log 2205838 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:44,119 log 2205840 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:53,287 log 2205837 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:53,687 log 2205840 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:53,969 log 2205838 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:54,283 log 2205840 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:54,294 log 2205837 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:54,869 log 2205840 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:55,057 log 2205836 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:55,118 log 2205837 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:55,326 log 2205840 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:59,441 log 2205837 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:59,491 log 2205836 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:59,691 log 2205840 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:49:59,780 log 2205838 139938138468352 Bad Request: /api/auth/login/
WARNING 2025-04-30 14:50:23,045 log 2205836 139938138468352 Not Found: /api/bin/440393
WARNING 2025-04-30 14:50:23,947 log 2205837 139938138468352 Not Found: /api/user/binLookup
WARNING 2025-04-30 15:35:40,341 log 2205839 139938138468352 Unauthorized: /api/auth/token/verify/
WARNING 2025-04-30 18:06:37,671 log 2217676 140187322765312 Unauthorized: /api/auth/token/verify/
